"Award_Identifier","Extending_Organization","Extending_Organization_Office","Accountable_Organization","Accountable_Organization_Office","Implementing_Organization","Implementing_Organization_Type","Implementing_Organization_Country","Implementing_Organization_DUNS_Number","Award_Title","Award_Description","Award_Status","Award_Collaboration_Type","Award_Total_Estimated_Value","Award_Interagency_Transfer_Status","Award_Start_Date","Award_End_Date","Recipient_Location","Award_Transaction_Description ","Award_Transaction_Value","Award_Transaction_Type","Award_Transaction_Date","Award_Transaction_Fiscal_Year","Award_Transaction_Fiscal_Quarter","Award_Transaction_Aid_Type","Award_Transaction_Tied_Status","Award_Transaction_Flow_Type","Award_Transaction_Finance_Type","Award_Transaction_DAC_Purpose_Code","Award_Transaction_DAC_Purpose_Code_Name","Award_Transaction_US_Foreign_Assistance_Code","Award_Transaction_US_Foreign_Assistance_Category","Award_Transaction_US_Foreign_Assistance_Sector","Treasury_Account_Codes","Treasury_Account_Title","Treasury_Account_Start_Fiscal_Year","Treasury_Account_End_Fiscal_Year","Data_Submission_Date"
"21A46B1CCB30","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Vendor implementing direct administrative services","","","","Administration and Oversight","This award is for a direct administrative costs or operating expenses of the U.S. Agency for International Development.","Completion","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2017-09-30 00:00:00","Turkey","This award is for a direct administrative costs or operating expenses of the U.S. Agency for International Development.","22111.810000000001","Commitment","2017-09-30 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","43010","Multisector aid","4005","Education and Social Services","Social Assistance","72 1027","Transition Initiatives, Funds Appropriated to the President, US Agency for International Development","0","0","2017-09-30 00:00:00"
"277-STU15017F3029","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Enterprise - Non United States Unknown","","","","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Implementation","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","753.24000000000001","Disbursement","2017-12-31 00:00:00","2018","1","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2017-12-31 00:00:00"
"0005A7952A","U.S. Department of State","","U.S. Agency for International Development","Bureau for Global Health","Personal Services Contractors - USAID","","","790238638","HIV/AIDS - Assistance for HIV/AIDS","PEPFAR: Reduce the transmission and impact of HIV/AIDS through support for prevention, care and treatment programs. - Assistance for HIV/AIDS","Completion","Bilateral","0","Direct Appropriation","2014-10-01 00:00:00","2015-09-30 00:00:00","Turkey","PEPFAR: Reduce the transmission and impact of HIV/AIDS through support for prevention, care and treatment programs. - Assistance for HIV/AIDS","1775.4000000000001","Disbursement","2015-03-31 00:00:00","2015","2","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","13040","STD control including HIV/AIDS","3001","Health","HIV/AIDS","19 1031","Global Health Programs, State","2012","2016","2015-03-31 00:00:00"
"1736112199992017001170348","U.S. Department of State","","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Association For Aid And Relief, Japan","International NGO","","698671653","","Near East Refugee Program","Completion","Bilateral","0","","","","Turkey","Original-cooperative Agreements","60000","Disbursement","2017-12-27 00:00:00","2018","1","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","720","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance","0","0","2018-11-02 00:00:00"
"277-STU10015M0094","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","U.S. Government - U.S. Agency for International Development","Private Sector","United States","","Crisis Assistance and Recovery","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","Completion","Bilateral","0","Direct Appropriation","2014-10-01 00:00:00","2015-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","612.03999999999996","Disbursement","2015-06-30 00:00:00","2015","3","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","72010","Material relief assistance and services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2015","0","2015-06-30 00:00:00"
"21A46B1CCB30","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Vendor implementing direct administrative services","","","","Administration and Oversight","This award is for a direct administrative costs or operating expenses of the U.S. Agency for International Development.","Completion","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2017-09-30 00:00:00","Turkey","This award is for a direct administrative costs or operating expenses of the U.S. Agency for International Development.","2825.5300000000002","Disbursement","2017-06-30 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","43010","Multisector aid","8001","Program Management","Direct Administrative Costs","72 1027","Transition Initiatives, Funds Appropriated to the President, US Agency for International Development","0","0","2017-06-30 00:00:00"
"181620551037650912","U.S. Department of State","","U.S. Department of State","Bureau Of Population, Refugees, And Migration","International Labor Organzation","Multilateral","","020301941","","","Completion","Bilateral","0","","","","Turkey","Original-voluntary Contributions","-25461.91","Disbursement","2018-06-11 00:00:00","2018","3","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","720","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance","0","0","2018-11-02 00:00:00"
"173350461037750513","U.S. Department of State","","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Save The Children","International NGO","","072129919","","","Completion","Bilateral","0","","","","Turkey","Original-cooperative Agreements","14137.379999999999","Disbursement","2017-12-01 00:00:00","2018","1","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","720","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance","0","0","2018-11-02 00:00:00"
"277-MOD-82100701-OFDA","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Unspecified Vendors - Bosnia and Herzegovina","","","","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Implementation","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","2560","Commitment","2017-09-30 00:00:00","2017","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","15220","Civilian peace-building, conflict prevention and resolution","1006","Peace and Security","Conflict Mitigation and Reconciliation","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2017-09-30 00:00:00"
"1818416120182017001180201","Executive Office of the President","","U.S. Department of State","Bureau Of International Security And Nonproliferation","Information Redacted","","","Information Redacted","","Non-proliferation","Completion","Bilateral","0","","","","Turkey","Original-cooperative Agreements","4735.8100000000004","Disbursement","2018-07-03 00:00:00","2018","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","152","Security system management and reform","1002","Peace and Security","Combating Weapons of Mass Destruction (WMD)","11 1075","Nonproliferation, Anti-Terrorism, Demining and Related Programs, International Security Assistance","2017","2018","2018-12-20 00:00:00"
"277-MOD-72100701-FFP","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Unspecified Vendors - Bosnia and Herzegovina","","","","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Implementation","Bilateral","0","Direct Appropriation","2015-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","304.12","Disbursement","2017-09-30 00:00:00","2017","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","15220","Civilian peace-building, conflict prevention and resolution","1006","Peace and Security","Conflict Mitigation and Reconciliation","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2017-09-30 00:00:00"
"277-MOD-62100701-FFP","U.S. Department of Agriculture","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Unspecified Vendors - Bosnia and Herzegovina","","","","Crisis Assistance and Recovery","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integrated, coordinated and/or multi-sectoral approach.","Completion","Bilateral","0","632a","2015-10-01 00:00:00","2017-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integrated, coordinated and/or multi-sectoral approach.","64","Disbursement","2017-06-30 00:00:00","2017","3","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","52010","Food aid/Food security programmes","7001","Humanitarian Assistance","Protection, Assistance and Solutions","12 2278","Food for Peace Title II Grants, Foreign Agricultural Service, Agriculture","2016","0","2017-06-30 00:00:00"
"277-S-282-OBO-75","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Enterprise - Non United States Unknown","","","123456787","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Completion","Bilateral","0","Direct Appropriation","2014-10-01 00:00:00","2017-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","15500","Commitment","2016-09-30 00:00:00","2016","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","72010","Material relief assistance and services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2016","0","2016-09-30 00:00:00"
"1685O1111A","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","U.S. Government - U.S. Agency for International Development","","","790238638","Crisis Assistance and Recovery","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","Completion","Bilateral","0","Direct Appropriation","2014-10-01 00:00:00","2017-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","3274.8000000000002","Disbursement","2016-06-30 00:00:00","2016","3","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","72010","Material relief assistance and services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2015","0","2016-06-30 00:00:00"
"1811405099992017001170348","U.S. Department of State","","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Association For Aid And Relief, Japan","International NGO","","698671653","","Near East Refugee Program","Completion","Bilateral","0","","","","Turkey","Original-cooperative Agreements","120000","Disbursement","2018-04-24 00:00:00","2018","3","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","720","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance","0","0","2018-11-02 00:00:00"
"B1AA82A21F72","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Vendor implementing direct administrative services","","","","Administration and Oversight","This award is for a direct administrative costs or operating expenses of the U.S. Agency for International Development.","Completion","Bilateral","0","Direct Appropriation","2014-10-01 00:00:00","2015-09-30 00:00:00","Turkey","This award is for a direct administrative costs or operating expenses of the U.S. Agency for International Development.","44635.5","Commitment","2015-03-31 00:00:00","2015","2","Administrative costs not included elsewhere","Tied","ODA","Aid grant excluding debt reorganisation","43010","Multisector aid","8001","Program Management","Direct Administrative Costs","72 1015","Complex Crises Fund, Funds Appropriated to the President, US Agency for International Development","0","0","2015-03-31 00:00:00"
"277-SF1190-18-02-FFP","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Personal Services Contractors - USAID","","","790238638","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Implementation","Bilateral","0","Direct Appropriation","2017-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","3480","Commitment","2017-12-31 00:00:00","2018","1","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2018","0","2017-12-31 00:00:00"
"277-MOD-72540500-FFP","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Unspecified Vendors - Bosnia and Herzegovina","","","","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Completion","Bilateral","0","Direct Appropriation","2015-10-01 00:00:00","2017-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integrated, coordinated and/or multi-sectoral approach.","81.069999999999993","Disbursement","2017-06-30 00:00:00","2017","3","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","72010","Material relief assistance and services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2016","0","2017-06-30 00:00:00"
"277-S-282-OBO-75","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Enterprise - Non United States Unknown","","","123456787","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Completion","Bilateral","0","Direct Appropriation","2014-10-01 00:00:00","2017-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","-2546","Commitment","2016-09-30 00:00:00","2016","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","72010","Material relief assistance and services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2015","0","2016-09-30 00:00:00"
"277-STU10016M0103","U.S. Department of Agriculture","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Enterprise - Non United States Unknown","","","123456787","Crisis Assistance and Recovery","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","Completion","Bilateral","0","632a","2015-10-01 00:00:00","2016-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","5400","Disbursement","2016-06-30 00:00:00","2016","3","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","52010","Food aid/Food security programmes","7001","Humanitarian Assistance","Protection, Assistance and Solutions","12 2278","Food for Peace Title II Grants, Foreign Agricultural Service, Agriculture","2016","0","2016-06-30 00:00:00"
"277-STU15017M3751","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Unspecified Vendors - Bosnia and Herzegovina","","","","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Completion","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2017-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","140","Commitment","2017-09-30 00:00:00","2017","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","15220","Civilian peace-building, conflict prevention and resolution","1006","Peace and Security","Conflict Mitigation and Reconciliation","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2017-09-30 00:00:00"
"277-ICASS-17-FFP","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","U.S. Government - Department of State","Government","United States","","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Implementation","Bilateral","0","Direct Appropriation","2015-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","7389","Commitment","2017-03-31 00:00:00","2017","2","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","15220","Civilian peace-building, conflict prevention and resolution","1006","Peace and Security","Conflict Mitigation and Reconciliation","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2017-03-31 00:00:00"
"277-STU10017M0124","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Unspecified Vendors - Bosnia and Herzegovina","","","","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Completion","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2017-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","62.450000000000003","Disbursement","2017-03-31 00:00:00","2017","2","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","15220","Civilian peace-building, conflict prevention and resolution","1006","Peace and Security","Conflict Mitigation and Reconciliation","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2017-03-31 00:00:00"
"277-STU10014M0107","U.S. Department of Agriculture","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","U.S. Government - U.S. Agency for International Development","","","","Crisis Assistance and Recovery","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","Completion","Bilateral","0","632a","2013-10-01 00:00:00","2015-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","4600","Commitment","2014-03-31 00:00:00","2014","2","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","52010","Food aid/Food security programmes","7001","Humanitarian Assistance","Protection, Assistance and Solutions","12 2278","Food for Peace Title II Grants, Foreign Agricultural Service, Agriculture","2014","0","2014-03-31 00:00:00"
"277-MOD-82330100-FFP","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Unspecified Vendors - Bosnia and Herzegovina","","","","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Implementation","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","6000","Commitment","2017-09-30 00:00:00","2017","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","15220","Civilian peace-building, conflict prevention and resolution","1006","Peace and Security","Conflict Mitigation and Reconciliation","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2017-09-30 00:00:00"
"277-STU10015V0061","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","U.S. Government - U.S. Agency for International Development","","","","Crisis Assistance and Recovery","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","Completion","Bilateral","0","Direct Appropriation","2014-10-01 00:00:00","2016-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","997.5","Commitment","2015-09-30 00:00:00","2015","4","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","72010","Material relief assistance and services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2015","0","2015-09-30 00:00:00"
"277-STU10016M0234","U.S. Department of Agriculture","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Unspecified Vendors - Bosnia and Herzegovina","","","","Crisis Assistance and Recovery","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integrated, coordinated and/or multi-sectoral approach.","Completion","Bilateral","0","632a","2015-10-01 00:00:00","2017-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integrated, coordinated and/or multi-sectoral approach.","-142.38999999999999","Commitment","2017-03-31 00:00:00","2017","2","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","52010","Food aid/Food security programmes","7001","Humanitarian Assistance","Protection, Assistance and Solutions","12 2278","Food for Peace Title II Grants, Foreign Agricultural Service, Agriculture","2016","0","2017-03-31 00:00:00"
"277-MOD-82600100-FFP","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Unspecified Vendors - Bosnia and Herzegovina","","","","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Completion","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2017-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","780","Commitment","2017-09-30 00:00:00","2017","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","15220","Civilian peace-building, conflict prevention and resolution","1006","Peace and Security","Conflict Mitigation and Reconciliation","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2017-09-30 00:00:00"
"277-ICASS-16-FFP","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","U.S. Government - U.S. Agency for International Development","","","","Crisis Assistance and Recovery","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","Completion","Bilateral","0","Direct Appropriation","2014-10-01 00:00:00","2017-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","5491.4200000000001","Disbursement","2015-12-31 00:00:00","2016","1","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","72010","Material relief assistance and services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2015","0","2015-12-31 00:00:00"
"277-SF1190-18-01-FFP","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","U.S. Government - U.S. Agency for International Development","","","790238638","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Implementation","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","36900","Commitment","2017-09-30 00:00:00","2017","4","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","15220","Civilian peace-building, conflict prevention and resolution","1006","Peace and Security","Conflict Mitigation and Reconciliation","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2017-09-30 00:00:00"
"1687A0383A","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Personal Services Contractors - USAID","","","790238638","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Implementation","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","2336.3000000000002","Disbursement","2017-09-30 00:00:00","2017","4","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","15220","Civilian peace-building, conflict prevention and resolution","1006","Peace and Security","Conflict Mitigation and Reconciliation","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2017-09-30 00:00:00"
"0005A7952A","U.S. Department of State","","U.S. Agency for International Development","Bureau for Global Health","Personal Services Contractors - USAID","","","790238638","HIV/AIDS - Assistance for HIV/AIDS","PEPFAR: Reduce the transmission and impact of HIV/AIDS through support for prevention, care and treatment programs. - Assistance for HIV/AIDS","Completion","Bilateral","0","Direct Appropriation","2014-10-01 00:00:00","2015-09-30 00:00:00","Turkey","PEPFAR: Reduce the transmission and impact of HIV/AIDS through support for prevention, care and treatment programs. - Assistance for HIV/AIDS","2571.6199999999999","Disbursement","2014-12-31 00:00:00","2015","1","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","13040","STD control including HIV/AIDS","3001","Health","HIV/AIDS","19 1031","Global Health Programs, State","2012","2016","2014-12-31 00:00:00"
"277-STU10015M0094","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","U.S. Government - U.S. Agency for International Development","Private Sector","United States","","Crisis Assistance and Recovery","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","Completion","Bilateral","0","Direct Appropriation","2014-10-01 00:00:00","2015-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","964.25","Commitment","2015-03-31 00:00:00","2015","2","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","72010","Material relief assistance and services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2015","0","2015-03-31 00:00:00"
